data_id,state_id,indicator_id,categories_id,nfhs_id,state_name,state_acronym,category,indicator_name,nfhs_round,ST,Non-ST,Total
29,35,29,3,2,Andaman & Nicobar,AN,Reproductive and Sexual Health,Total unmet need for spacing among currently married women(15-49 years) (%),NFHS V,3.7,6.3,6.1
30,35,30,4,2,Andaman & Nicobar,AN,Maternity Care (for last birth in the 5 years before the survey),Women(15-19 years) who were already mothers or pregnant at the time of the survey (%),NFHS V,1.1,3.2,3
31,35,31,4,2,Andaman & Nicobar,AN,Maternity Care (for last birth in the 5 years before the survey),Mothers who had antenatal check-up in the first trimester (%),NFHS V,70.6,77.8,77.1
32,35,32,4,2,Andaman & Nicobar,AN,Maternity Care (for last birth in the 5 years before the survey),Mothers who had at least four antenatal care visits during last pregnancy (%),NFHS V,77.3,84.3,83.6
33,35,33,4,2,Andaman & Nicobar,AN,Maternity Care (for last birth in the 5 years before the survey),Mothers who consumed iron & folic acid for 100 days or more when they were pregnant (%),NFHS V,74.8,81.6,80.9
34,35,34,4,2,Andaman & Nicobar,AN,Maternity Care (for last birth in the 5 years before the survey),Mothers who had full antenatal care (%),NFHS V,57.5,66.9,65.9
35,35,35,4,2,Andaman & Nicobar,AN,Maternity Care (for last birth in the 5 years before the survey),Registered pregnancies for which the mother received Mother and Child Protection card (%),NFHS V,99.3,98.9,98.9
36,35,36,4,2,Andaman & Nicobar,AN,Maternity Care (for last birth in the 5 years before the survey),Mothers(15-49 years) who received advice on breastfeeding from any provider during pregnancy (%),NFHS V,69.6,58.5,59.6
37,35,37,4,2,Andaman & Nicobar,AN,Maternity Care (for last birth in the 5 years before the survey),Mothers(15-49 years) who received health and nutrition education from the AWC during pregnancy (%),NFHS V,47.4,40.5,41.2
38,35,38,4,2,Andaman & Nicobar,AN,Maternity Care (for last birth in the 5 years before the survey),Mothers(15-49 years) who received food supplements from the anganwadi center during pregnancy (%),NFHS V,56.9,50.6,51.2
39,35,39,5,2,Andaman & Nicobar,AN,Delivery Care (for births in the 5 years before the survey) ,Institutional births (%),NFHS V,98.9,99,98.9
40,35,40,5,2,Andaman & Nicobar,AN,Delivery Care (for births in the 5 years before the survey) ,Institutional births in public facility (%),NFHS V,98.9,85.8,87.3
41,35,41,5,2,Andaman & Nicobar,AN,Delivery Care (for births in the 5 years before the survey) ,Births delivered by caesarean section (%),NFHS V,15.5,31.6,29.9
42,35,42,5,2,Andaman & Nicobar,AN,Delivery Care (for births in the 5 years before the survey) ,Home births that were conducted by skilled health personnel (%),NFHS V,50.7,39.5,42.3
43,35,43,5,2,Andaman & Nicobar,AN,Delivery Care (for births in the 5 years before the survey) ,Births in a public health facility delivered by caesarean section (%),NFHS V,15.7,24.8,23.6
44,35,44,5,2,Andaman & Nicobar,AN,Delivery Care (for births in the 5 years before the survey) ,Mothers who received financial assistance under Janani Suraksha Yojana for births delivered in an institution (%),NFHS V,6.3,0.1,0.7
45,35,45,5,2,Andaman & Nicobar,AN,Delivery Care (for births in the 5 years before the survey) ,Average out of pocket expenditure per delivery in ANY health facility in INR,NFHS V,2463,4638,4378
46,35,46,6,2,Andaman & Nicobar,AN,Postnatal care (for births in the 5 years before the survey),Women who had first postnatal check-up within two days (%),NFHS V,87.2,89.3,89.1
47,35,47,6,2,Andaman & Nicobar,AN,Postnatal care (for births in the 5 years before the survey),Children born at home within the five years preceding the survey received PNC within 24 hours of delivery (%),NFHS V,0,0,0
48,35,48,7,2,Andaman & Nicobar,AN,"Birth Registration, Immunization and Child Health",Children under age 5 years whose birth was registered (%),NFHS V,95.4,97.7,97.4
49,35,49,7,2,Andaman & Nicobar,AN,"Birth Registration, Immunization and Child Health","Children(12-23 months) fully immunized (BCG, measles, and 3 doses of Polio and DPT) (%)",NFHS V,67.2,69.6,69.4
50,35,50,7,2,Andaman & Nicobar,AN,"Birth Registration, Immunization and Child Health",Children(12-23 months) who have received measles vaccine (%),NFHS V,67.2,78.1,77.2
51,35,51,7,2,Andaman & Nicobar,AN,"Birth Registration, Immunization and Child Health",Children(9-59 months) who received a vitamin A dose in last six months (%),NFHS V,32.2,41.9,40.9
52,35,52,7,2,Andaman & Nicobar,AN,"Birth Registration, Immunization and Child Health","Children under age five years suffered from diarrhoea in the last two weeks, preceding the survey (%)",NFHS V,6.2,5.6,5.6
53,35,53,7,2,Andaman & Nicobar,AN,"Birth Registration, Immunization and Child Health",Advice or treatment sought for children suffering from diarrhoea in last two weeks (%),NFHS V,100,81.6,83.9
54,35,54,7,2,Andaman & Nicobar,AN,"Birth Registration, Immunization and Child Health",Children with diarrhoea in last two weeks who received ORS (%),NFHS V,59.9,65.7,65
55,35,55,7,2,Andaman & Nicobar,AN,"Birth Registration, Immunization and Child Health",Children with diarrhoea in the last two weeks who received zinc (%),NFHS V,35.7,45.2,44
56,35,56,7,2,Andaman & Nicobar,AN,"Birth Registration, Immunization and Child Health",Children with diarrhoea in the last two weeks who received both ORS and zinc (%),NFHS V,35.7,33.1,33.4
57,35,57,7,2,Andaman & Nicobar,AN,"Birth Registration, Immunization and Child Health",Prevalence of symptoms of acute respiratory infection among children under age 5 years within the last two weeks preceding the survey (%),NFHS V,0.9,1.7,1.7
58,35,58,7,2,Andaman & Nicobar,AN,"Birth Registration, Immunization and Child Health",Children under age 5 years with ARI Symptoms in last 2 weeks who sought medical treatment same/next day (%),NFHS V,100,32.1,36.2
59,35,59,8,2,Andaman & Nicobar,AN,Child Nutrition,Children with low birth weight (<2500 g) (for births in the 5 years before the survey) (%),NFHS V,14.7,17.7,17.4
60,35,60,8,2,Andaman & Nicobar,AN,Child Nutrition,Children under age three years breastfed within one hour of birth (%),NFHS V,57.4,45.8,46.9
61,35,61,8,2,Andaman & Nicobar,AN,Child Nutrition,Children exclusively breastfed for 0-6 months (%),NFHS V,55,75.7,73.3
62,35,62,8,2,Andaman & Nicobar,AN,Child Nutrition,Total children(6-23 months) receiving an adequate diet (%),NFHS V,15.1,19.8,19.5
63,35,63,8,2,Andaman & Nicobar,AN,Child Nutrition,Children under 5 years who are stunted(height-for-age) (%),NFHS V,21.9,22.5,22.5
64,35,64,8,2,Andaman & Nicobar,AN,Child Nutrition,Children under 5 years who are wasted(weight-for-height) (%),NFHS V,15.8,16,16
65,35,65,8,2,Andaman & Nicobar,AN,Child Nutrition,Children under 5 years who are severely wasted(weight-for-height) (%),NFHS V,4.5,4.9,4.8
66,35,66,8,2,Andaman & Nicobar,AN,Child Nutrition,Children under 5 years who are underweight(weight-for-age) (%),NFHS V,18.1,24.2,23.6
67,35,67,8,2,Andaman & Nicobar,AN,Child Nutrition,Children under 5 years who are overweight(weight-for-height) (%),NFHS V,1.1,5.9,5.4
68,35,68,8,2,Andaman & Nicobar,AN,Child Nutrition,Children aged 6 - 59 months who are anaemic (<11.0g/dl) (%),NFHS V,30.5,40.9,40
69,35,69,8,2,Andaman & Nicobar,AN,Child Nutrition,Children under age 6 years who received food supplimentation from anganwadi centre in past 12 months (%),NFHS V,56.2,48,48.8
70,35,70,8,2,Andaman & Nicobar,AN,Child Nutrition,Mothers of children under age 6 years who received any services from AWC while breastfeeding (%),NFHS V,51.8,41.8,42.9
71,35,71,8,2,Andaman & Nicobar,AN,Child Nutrition,Children(6-59 months) who given deworming medication in past 6 months (%),NFHS V,26,33.7,32.9
72,35,72,8,2,Andaman & Nicobar,AN,Child Nutrition,Children(6-59 months) who given iron supplimentation in past 7 days (%),NFHS V,30.4,27.9,28.2
73,35,73,8,2,Andaman & Nicobar,AN,Child Nutrition,Children(0-59 months) who were weighed at anganwadi centre in last 12 months (%),NFHS V,57.2,50.8,51.5
74,35,74,8,2,Andaman & Nicobar,AN,Child Nutrition,Children(0-59 months) who were weighed at anganwadi centre in last 12 months and their mother were counselled from AWC (%),NFHS V,78.3,62.5,64.4
75,35,75,9,2,Andaman & Nicobar,AN,Nutritional Status of Adults,Women(15-49 years) whose BMI is below normal (BMI < 18.5 kg/m2) (%),NFHS V,6.4,9.7,9.4
76,35,76,9,2,Andaman & Nicobar,AN,Nutritional Status of Adults,Men(15-49 years) whose BMI is below normal (BMI < 18.5 kg/m2) (%),NFHS V,0,5.1,4.4
77,35,77,9,2,Andaman & Nicobar,AN,Nutritional Status of Adults,Women(15-49 years)  who are overweight or obese (BMI >= 25.0 kg/m2) (%),NFHS V,43.9,37.6,38.1
78,35,78,9,2,Andaman & Nicobar,AN,Nutritional Status of Adults,Men(15-49 years) who are overweight or obese (BMI >= 25.0 kg/m2) (%),NFHS V,49.3,43.5,44.3
79,35,79,9,2,Andaman & Nicobar,AN,Nutritional Status of Adults,Men(15-49 years) with increased risk of metabolic complication(Waist-to-hip ratio>0.90 cm) (%),NFHS V,42.8,58.3,56.3
80,35,80,9,2,Andaman & Nicobar,AN,Nutritional Status of Adults,Women(15-49 years) with increased risk of metabolic complication(Waist-to-hip ratio>0.85 cm) (%),NFHS V,61.4,78.7,77.3
81,35,81,9,2,Andaman & Nicobar,AN,Nutritional Status of Adults,Pregnant women(15-49 years) who are anaemic(<11.0 g/dl) (%),NFHS V,55.6,53.5,53.7
82,35,82,9,2,Andaman & Nicobar,AN,Nutritional Status of Adults,Women(15-49 years) years who are anaemic(<12.0 g/dl) (%),NFHS V,30.5,59.8,57.5
83,35,83,10,2,Andaman & Nicobar,AN,Diabetes,Women(15-49 years) with high blood sugar level(>140 mg/dl) or taking medicine to control blood sugar level (%),NFHS V,7.5,11.8,11.4
84,35,84,10,2,Andaman & Nicobar,AN,Diabetes,Men(15-49 years) with high blood sugar level(>140 mg/dl) or taking medicine to control blood sugar level (%),NFHS V,16.8,17.9,17.8
85,35,85,11,2,Andaman & Nicobar,AN,Hypertension,Women(15-49 years) with elevated blood pressure (Systolic >=140 mm of Hg and/or Diastolic >=90 mm of Hg) or taking medicine to control blood pressure (%),NFHS V,28.6,14.2,15.1
86,35,86,11,2,Andaman & Nicobar,AN,Hypertension,Men(15-49 years) with elevated  blood pressure (Systolic >=140 mm of Hg and/or Diastolic >=90 mm of Hg) or taking medicine to control blood pressure,NFHS V,31.7,20.9,21.5
87,35,87,12,2,Andaman & Nicobar,AN,Substance Use among Adults,Women age 15 years and above who use any kind of tobacco (%),NFHS V,70.2,27.7,31.3
88,35,88,12,2,Andaman & Nicobar,AN,Substance Use among Adults,Men age 15 years and above who use any kind of tobacco (%),NFHS V,82,56.5,58.7
89,35,89,12,2,Andaman & Nicobar,AN,Substance Use among Adults,Women age 15 years and above who consume alcohol (%),NFHS V,31.5,2.6,5
90,35,90,12,2,Andaman & Nicobar,AN,Substance Use among Adults,Men age 15 years and above who consume alcohol (%),NFHS V,69,36,38.8
91,35,91,13,2,Andaman & Nicobar,AN,Infectious Disease,Households with at least one mosquito net (%),NFHS V,42.5,31.7,32.5
92,35,92,13,2,Andaman & Nicobar,AN,Infectious Disease,"Survey population suffering from Tuberculosis(per 100,000 population)",NFHS V,800,100,200
93,35,93,13,2,Andaman & Nicobar,AN,Infectious Disease,Women(15-49 years) who have ever heard of tuberculosis (%),NFHS V,96,96.1,96.1
94,35,94,13,2,Andaman & Nicobar,AN,Infectious Disease,Men(15-49 years) who have ever heard of tuberculosis (%),NFHS V,94.5,79.5,81.7
95,35,95,14,2,Andaman & Nicobar,AN,Women's empowerment,Women(15-49 years) who worked in the last 12 months and were paid in cash (%),NFHS V,23.5,24.7,24.6
96,35,96,14,2,Andaman & Nicobar,AN,Women's empowerment,Women owning a house and/or land (alone or jointly with others) (%),NFHS V,22.8,14.7,15.8
97,35,97,14,2,Andaman & Nicobar,AN,Women's empowerment,Women having a bank or savings account that they themselves use (%),NFHS V,74.2,91.5,89.2
98,35,98,14,2,Andaman & Nicobar,AN,Women's empowerment,Women having a mobile phone that they themselves use (%),NFHS V,50.2,85.5,80.8
99,35,99,15,2,Andaman & Nicobar,AN,Gender based violence,Ever-married women(18-49 years) who have experienced physical violence ever (%),NFHS V,21.5,19.7,19.9
100,35,100,15,2,Andaman & Nicobar,AN,Gender based violence,Ever-married women(18-49 years) who have experienced physical violence in past 12 months (%),NFHS V,9.1,5.7,6.1
101,35,101,15,2,Andaman & Nicobar,AN,Gender based violence,Ever-married women(18-49 years) who have experienced physical violence during any pregnancy (%),NFHS V,0,0.4,0.4
102,35,102,15,2,Andaman & Nicobar,AN,Gender based violence,Young women(18-29 years) who experienced sexual violence by age 18 (%),NFHS V,1.6,0,1.5
103,35,103,16,2,Andaman & Nicobar,AN,Knowledge around STI/HIV,Women(15-49) ever heard of a sexually transmitted infection (%),NFHS V,93.4,99,98.3
104,35,104,16,2,Andaman & Nicobar,AN,Knowledge around STI/HIV,Men(15-54 years) ever heard of a sexually transmitted infection (%),NFHS V,99.1,92.5,93.5
105,35,105,16,2,Andaman & Nicobar,AN,Knowledge around STI/HIV,Women(15-49) ever heard of HIV-AIDS (%),NFHS V,93.4,98,97.4
106,35,106,16,2,Andaman & Nicobar,AN,Knowledge around STI/HIV,Men(15-54 years) ever heard of a HIV-AIDS (%),NFHS V,99.1,92,93.1
107,35,107,16,2,Andaman & Nicobar,AN,Knowledge around STI/HIV,Women(15-49 years) who have comprehensive knowledge about HIV (%),NFHS V,17.7,14.5,14.9
108,35,108,16,2,Andaman & Nicobar,AN,Knowledge around STI/HIV,Men(15-54 years) who have comprehensive knowledge about HIV (%),NFHS V,18,35.4,32.9
109,35,109,17,2,Andaman & Nicobar,AN,Adolescent health,Women(15-24 years) whose Body Mass Index is below normal (BMI < 18.5 kg/m2) (%),NFHS V,10.1,20.6,19.8
110,35,110,17,2,Andaman & Nicobar,AN,Adolescent health,Women (15-24 years) years who are anaemic (<12.0 g/dl) (%),NFHS V,35,54.6,53.1
111,35,111,17,2,Andaman & Nicobar,AN,Adolescent health,Women (15-24 years) with high Blood sugar level (>140 mg/dl) or taking medicine to control blood sugar level (%),NFHS V,6.6,3.9,4.1
112,35,112,17,2,Andaman & Nicobar,AN,Adolescent health,Men(15-24 years) with high Blood sugar level (>140 mg/dl) or taking medicine to control blood sugar level (%),NFHS V,1.8,2.2,2.2
113,35,113,17,2,Andaman & Nicobar,AN,Adolescent health,Women(15-24 years) with elevated blood pressure (Systolic >=140 mm of Hg and/or Diastolic >=90 mm of Hg) or taking medicine to control blood pressure (%),NFHS V,8.7,2.6,2.9
114,35,114,17,2,Andaman & Nicobar,AN,Adolescent health,Men(15-24 years) with elevated blood pressure (Systolic >=140 mm of Hg and/or Diastolic >=90 mm of Hg) or taking medicine to control blood pressure (%),NFHS V,6.6,7.7,7.7
115,28,1,1,2,Andhra Pradesh,AP,Population and household profile,"Sex ratio of the total population(females per 1,000 males)",NFHS V,*,905,905
116,28,2,1,2,Andhra Pradesh,AP,Population and household profile,"Sex ratio at birth for children(0-6 years) born in the last five years(females per 1,000 males)",NFHS V,*,850,852
117,28,3,1,2,Andhra Pradesh,AP,Population and household profile,Population(6 years and above) who ever attended school(Male) (%),NFHS V,68.8,80,79.6
118,28,4,1,2,Andhra Pradesh,AP,Population and household profile,Population(6 years and above) who ever attended school(Female) (%),NFHS V,53.2,66.1,65.6
119,28,5,1,2,Andhra Pradesh,AP,Population and household profile,Women(15-49 years) with 10 or more years of schooling (%),NFHS V,27.4,40.2,39.6
120,28,6,1,2,Andhra Pradesh,AP,Population and household profile,Women(20-24 years) married before age 18 years (%),NFHS V,37.3,28.9,29.3
121,28,7,1,2,Andhra Pradesh,AP,Population and household profile,Household population having an Aadhaar Card (%),NFHS V,93.5,96.7,96.6
122,28,8,1,2,Andhra Pradesh,AP,Population and household profile,Households having BPL card (%),NFHS V,92.9,89.7,89.8
123,28,9,1,2,Andhra Pradesh,AP,Population and household profile,Households owning agricultural land (%),NFHS V,36.5,28.7,29.1
124,28,10,1,2,Andhra Pradesh,AP,Population and household profile,Households with electricity (%),NFHS V,96.9,99.2,99.1
125,28,11,1,2,Andhra Pradesh,AP,Population and household profile,Households with an improved drinking water source (%),NFHS V,80.6,97.3,96.7
126,28,12,1,2,Andhra Pradesh,AP,Population and household profile,Households using improved sanitation facility (%),NFHS V,65.1,83.2,82.4
127,28,13,1,2,Andhra Pradesh,AP,Population and household profile,"Households with no toilet facility, defecating in open space/field (%)",NFHS V,33.7,15.6,16.3
128,28,14,1,2,Andhra Pradesh,AP,Population and household profile,Households using clean fuel for cooking (%),NFHS V,52.9,84.9,83.6
129,28,15,1,2,Andhra Pradesh,AP,Population and household profile,Households having pucca house (%),NFHS V,65.7,85.4,84.6
130,28,16,1,2,Andhra Pradesh,AP,Population and household profile,Households with presence of water and soap/detergent at handwashing place (%),NFHS V,43.6,52.2,51.9
131,28,17,1,2,Andhra Pradesh,AP,Population and household profile,Households with any usual member covered by a health scheme or health insurance (%),NFHS V,85.1,80,80.2
132,28,18,1,2,Andhra Pradesh,AP,Population and household profile,Household population having any form of disability (hearing/speech/visual/mental/locomotive/other) (%),NFHS V,0.9,0.9,0.9
133,28,19,2,2,Andhra Pradesh,AP,Access to Communication/Mass Media,Households having access to internet (%),NFHS V,19.4,33.2,32.7
134,28,20,2,2,Andhra Pradesh,AP,Access to Communication/Mass Media,Households owning a mobile/telephone (%),NFHS V,81.3,91.6,91.2
135,28,21,2,2,Andhra Pradesh,AP,Access to Communication/Mass Media,"Women(15-49 years) with exposure to mass media i.e.,newspaper,TV,radio,watch movie in theatre (%)",NFHS V,73.7,79.1,78.8
136,28,22,2,2,Andhra Pradesh,AP,Access to Communication/Mass Media,Women(15-49 years) using internet (%),NFHS V,11.1,21.3,21
137,28,23,3,2,Andhra Pradesh,AP,Reproductive and Sexual Health,Menstruating woman(15-24 years) using hygienic method for blood stain prevention during menstruation (%),NFHS V,75.5,85.7,85.2
138,28,24,3,2,Andhra Pradesh,AP,Reproductive and Sexual Health,Currently married women(15-49 years) using any family planning method (%),NFHS V,56.7,71.7,71.1
139,28,25,3,2,Andhra Pradesh,AP,Reproductive and Sexual Health,Currently married women(15-49 years) using female sterilization (%),NFHS V,53.6,70.3,69.6
140,28,26,3,2,Andhra Pradesh,AP,Reproductive and Sexual Health,Currently married women(15-49 years) using male sterilization (%),NFHS V,2.4,0.4,0.4
141,28,27,3,2,Andhra Pradesh,AP,Reproductive and Sexual Health,Currently married women(15-49 years) using modern contraceptive obtained from public health facility (%),NFHS V,89.5,70.1,70.8
142,28,28,3,2,Andhra Pradesh,AP,Reproductive and Sexual Health,Total unmet need among currently married women(15-49 years) (%),NFHS V,6.5,4.6,4.7
143,28,29,3,2,Andhra Pradesh,AP,Reproductive and Sexual Health,Total unmet need for spacing among currently married women(15-49 years) (%),NFHS V,5,2.5,2.6
144,28,30,4,2,Andhra Pradesh,AP,Maternity Care (for last birth in the 5 years before the survey),Women(15-19 years) who were already mothers or pregnant at the time of the survey (%),NFHS V,21.7,12.1,12.6
145,28,31,4,2,Andhra Pradesh,AP,Maternity Care (for last birth in the 5 years before the survey),Mothers who had antenatal check-up in the first trimester (%),NFHS V,80.8,81.8,81.7
146,28,32,4,2,Andhra Pradesh,AP,Maternity Care (for last birth in the 5 years before the survey),Mothers who had at least four antenatal care visits during last pregnancy (%),NFHS V,59.8,67.9,67.5
147,28,33,4,2,Andhra Pradesh,AP,Maternity Care (for last birth in the 5 years before the survey),Mothers who consumed iron & folic acid for 100 days or more when they were pregnant (%),NFHS V,69.9,70.3,70.3
148,28,34,4,2,Andhra Pradesh,AP,Maternity Care (for last birth in the 5 years before the survey),Mothers who had full antenatal care (%),NFHS V,39.6,47.2,46.8
149,28,35,4,2,Andhra Pradesh,AP,Maternity Care (for last birth in the 5 years before the survey),Registered pregnancies for which the mother received Mother and Child Protection card (%),NFHS V,97.8,96.5,96.5
150,28,36,4,2,Andhra Pradesh,AP,Maternity Care (for last birth in the 5 years before the survey),Mothers(15-49 years) who received advice on breastfeeding from any provider during pregnancy (%),NFHS V,82.3,78.6,78.8
151,28,37,4,2,Andhra Pradesh,AP,Maternity Care (for last birth in the 5 years before the survey),Mothers(15-49 years) who received health and nutrition education from the AWC during pregnancy (%),NFHS V,92.2,83.3,83.8
152,28,38,4,2,Andhra Pradesh,AP,Maternity Care (for last birth in the 5 years before the survey),Mothers(15-49 years) who received food supplements from the anganwadi center during pregnancy (%),NFHS V,95.2,84.4,85.1
153,28,39,5,2,Andhra Pradesh,AP,Delivery Care (for births in the 5 years before the survey) ,Institutional births (%),NFHS V,89.3,97,96.5
154,28,40,5,2,Andhra Pradesh,AP,Delivery Care (for births in the 5 years before the survey) ,Institutional births in public facility (%),NFHS V,72.3,49,50.4
155,28,41,5,2,Andhra Pradesh,AP,Delivery Care (for births in the 5 years before the survey) ,Births delivered by caesarean section (%),NFHS V,21.7,43.7,42.4
156,28,42,5,2,Andhra Pradesh,AP,Delivery Care (for births in the 5 years before the survey) ,Home births that were conducted by skilled health personnel (%),NFHS V,NA,43.2,39.9
157,28,43,5,2,Andhra Pradesh,AP,Delivery Care (for births in the 5 years before the survey) ,Births in a public health facility delivered by caesarean section (%),NFHS V,16.2,27.5,26.6
158,28,44,5,2,Andhra Pradesh,AP,Delivery Care (for births in the 5 years before the survey) ,Mothers who received financial assistance under Janani Suraksha Yojana for births delivered in an institution (%),NFHS V,45.3,23.2,24.4
159,28,45,5,2,Andhra Pradesh,AP,Delivery Care (for births in the 5 years before the survey) ,Average out of pocket expenditure per delivery in ANY health facility in INR,NFHS V,2844,9888,9472
160,28,46,6,2,Andhra Pradesh,AP,Postnatal care (for births in the 5 years before the survey),Women who had first postnatal check-up within two days (%),NFHS V,82.2,91.8,91.3
161,28,47,6,2,Andhra Pradesh,AP,Postnatal care (for births in the 5 years before the survey),Children born at home within the five years preceding the survey received PNC within 24 hours of delivery (%),NFHS V,NA,NA,10.5
162,28,48,7,2,Andhra Pradesh,AP,"Birth Registration, Immunization and Child Health",Children under age 5 years whose birth was registered (%),NFHS V,72.6,93.2,92
163,28,49,7,2,Andhra Pradesh,AP,"Birth Registration, Immunization and Child Health","Children(12-23 months) fully immunized (BCG, measles, and 3 doses of Polio and DPT) (%)",NFHS V,*,72.5,72.2
164,28,50,7,2,Andhra Pradesh,AP,"Birth Registration, Immunization and Child Health",Children(12-23 months) who have received measles vaccine (%),NFHS V,*,87,87
165,28,51,7,2,Andhra Pradesh,AP,"Birth Registration, Immunization and Child Health",Children(9-59 months) who received a vitamin A dose in last six months (%),NFHS V,39,39.7,39.6
166,28,52,7,2,Andhra Pradesh,AP,"Birth Registration, Immunization and Child Health","Children under age five years suffered from diarrhoea in the last two weeks, preceding the survey (%)",NFHS V,5.3,7.3,7.2
167,28,53,7,2,Andhra Pradesh,AP,"Birth Registration, Immunization and Child Health",Advice or treatment sought for children suffering from diarrhoea in last two weeks (%),NFHS V,*,76.8,77.3
168,28,54,7,2,Andhra Pradesh,AP,"Birth Registration, Immunization and Child Health",Children with diarrhoea in last two weeks who received ORS (%),NFHS V,*,63.2,62.5
169,28,55,7,2,Andhra Pradesh,AP,"Birth Registration, Immunization and Child Health",Children with diarrhoea in the last two weeks who received zinc (%),NFHS V,*,41.7,41.8
170,28,56,7,2,Andhra Pradesh,AP,"Birth Registration, Immunization and Child Health",Children with diarrhoea in the last two weeks who received both ORS and zinc (%),NFHS V,*,29.3,29.2
171,28,57,7,2,Andhra Pradesh,AP,"Birth Registration, Immunization and Child Health",Prevalence of symptoms of acute respiratory infection among children under age 5 years within the last two weeks preceding the survey (%),NFHS V,2.3,2.4,2.4
172,28,58,7,2,Andhra Pradesh,AP,"Birth Registration, Immunization and Child Health",Children under age 5 years with ARI Symptoms in last 2 weeks who sought medical treatment same/next day (%),NFHS V,*,53.7,53.1
173,28,59,8,2,Andhra Pradesh,AP,Child Nutrition,Children with low birth weight (<2500 g) (for births in the 5 years before the survey) (%),NFHS V,17.4,16.1,16.2
