indicator_id,indicator_name,indicator_type,indicator_type_id
86,Men(15-49 years) with elevated  blood pressure (Systolic >=140 mm of Hg and/or Diastolic >=90 mm of Hg) or taking medicine to control blood pressure,Neutral,3
87,Women age 15 years and above who use any kind of tobacco (%),Negative,3
88,Men age 15 years and above who use any kind of tobacco (%),Negative,3
89,Women age 15 years and above who consume alcohol (%),Negative,3
90,Men age 15 years and above who consume alcohol (%),Negative,3
91,Households with at least one mosquito net (%),Neutral,1
92,"Survey population suffering from Tuberculosis(per 100,000 population)",Neutral,1
93,Women(15-49 years) who have ever heard of tuberculosis (%),Neutral,1
94,Men(15-49 years) who have ever heard of tuberculosis (%),Neutral,1
95,Women(15-49 years) who worked in the last 12 months and were paid in cash (%),Neutral,1
96,Women owning a house and/or land (alone or jointly with others) (%),Positive,2
97,Women having a bank or savings account that they themselves use (%),Positive,2
98,Women having a mobile phone that they themselves use (%),Positive,2
99,Ever-married women(18-49 years) who have experienced physical violence ever (%),Negative,3
100,Ever-married women(18-49 years) who have experienced physical violence in past 12 months (%),Negative,3
101,Ever-married women(18-49 years) who have experienced physical violence during any pregnancy (%),Negative,3
102,Young women(18-29 years) who experienced sexual violence by age 18 (%),Negative,3
103,Women(15-49) ever heard of a sexually transmitted infection (%),Neutral,1
104,Men(15-54 years) ever heard of a sexually transmitted infection (%),Neutral,1
105,Women(15-49) ever heard of HIV-AIDS (%),Neutral,1
106,Men(15-54 years) ever heard of a HIV-AIDS (%),Neutral,1
107,Women(15-49 years) who have comprehensive knowledge about HIV (%),Positive,2
108,Men(15-54 years) who have comprehensive knowledge about HIV (%),Positive,2
109,Women(15-24 years) whose Body Mass Index is below normal (BMI < 18.5 kg/m2) (%),Negative,3
110,Women (15-24 years) years who are anaemic (<12.0 g/dl) (%),Negative,3
111,Women (15-24 years) with high Blood sugar level (>140 mg/dl) or taking medicine to control blood sugar level (%),Neutral,1
112,Men(15-24 years) with high Blood sugar level (>140 mg/dl) or taking medicine to control blood sugar level (%),Neutral,1
113,Women(15-24 years) with elevated blood pressure (Systolic >=140 mm of Hg and/or Diastolic >=90 mm of Hg) or taking medicine to control blood pressure (%),Negative,3
114,Men(15-24 years) with elevated blood pressure (Systolic >=140 mm of Hg and/or Diastolic >=90 mm of Hg) or taking medicine to control blood pressure (%),Negative,3
